Username,Content,Date_Created
kenasanion,Hello,Wed Oct 07 2015 11:07:40 GMT+0800 (PHT)
kenasanion,Hi guys !!!

No. Go Away,Wed Oct 07 2015 11:08:13 GMT+0800 (PHT)
jraquino,hohoho I love secudev so much,Wed Oct 07 2015 11:27:57 GMT+0800 (PHT)
kenasanion,<img src="https://www.google.com.ph/images/branding/googlelogo/2x/googlelogo_color_272x92dp.png" />,Wed Oct 07 2015 11:36:02 GMT+0800 (PHT)
kenasanion,<img src="https://www.google.com.ph/images/branding/googlelogo/2x/googlelogo_color_272x92dp.png" ng-click='signout()'/>,Wed Oct 07 2015 11:36:28 GMT+0800 (PHT)
jraquino,pabebe wave,Wed Oct 07 2015 12:03:18 GMT+0800 (PHT)
kenasanion,Hi !!!,Fri Oct 23 2015 15:05:59 GMT+0800 (PHT)
kenasanion,Hi my name is ken. I am cute.,Fri Oct 23 2015 15:13:56 GMT+0800 (PHT)
kenasanion,A,Sun Oct 25 2015 12:18:51 GMT+0800 (PHT)
kenasanion,A,Sun Oct 25 2015 12:18:53 GMT+0800 (PHT)
kenasanion,Hello World :),Sun Oct 25 2015 12:18:57 GMT+0800 (PHT)
